URAE,Municipio,Data Adesão,Populacao  Estimada,UGRHI
URAE 4 - NORTE,Lavínia,08/09/23 08:17:01,9.689,19 - Baixo Tietê
URAE 4 - NORTE,Lindóia,10/03/23 08:37:56,7.014,09 - Mogi-Guaçu
URAE 3 - LESTE,Louveira,10/03/23 08:37:37,51.847,05 - Piracicaba/Capivari/Jundiaí
URAE 4 - NORTE,Macaubal,07/20/23 16:56:34,7.481,19 - Baixo Tietê
URAE 2 - CENTRO,Mairinque,07/19/23 09:01:15,50.027,10 - Tietê/Sorocaba
URAE 2 - CENTRO,Manduri,11/06/23 09:44:34,9.871,14 - Alto Paranapanema
URAE 2 - CENTRO,Marília,09/21/23 09:24:06,237.627,21 - Peixe
URAE 4 - NORTE,Mendonça,10/02/23 13:26:58,6.159,16 - Tietê/Batalha
URAE 2 - CENTRO,Mineiros do Tietê,07/25/24 15:20:08,11.230,13 - Tietê/Jacaré
URAE 4 - NORTE,Mirandópolis,09/14/24 20:30:24,27.983,19 - Baixo Tietê
URAE 4 - NORTE,Mirassolândia,07/19/23 13:36:46,4.669,15 - Turvo/Grande
URAE 3 - LESTE,Mogi das Cruzes,08/02/24 16:59:58,451.505,06 - Alto Tietê
URAE 4 - NORTE,Morro Agudo,10/03/23 13:28:58,27.933,12 - Baixo Pardo/Grande
URAE 4 - NORTE,Murutinga do Sul,09/19/23 14:10:27,3.737,19 - Baixo Tietê
URAE 3 - LESTE,Natividade da Serra,09/17/24 13:40:23,6.999,02 - Paraíba do Sul
URAE 2 - CENTRO,Nova Independência,08/07/23 08:52:26,4.609,20 - Aguapeí
URAE 2 - CENTRO,Ocauçu,09/29/23 14:49:26,4.331,17 - Médio Paranapanema
URAE 2 - CENTRO,Ourinhos,09/15/23 11:47:10,103.970,17 - Médio Paranapanema
URAE 2 - CENTRO,Ouro Verde,05/02/24 13:46:23,7.779,21 - Peixe
URAE 2 - CENTRO,Palmital,08/01/23 08:33:50,19.594,17 - Médio Paranapanema
URAE 4 - NORTE,Paraíso,10/03/23 09:05:43,6.099,15 - Turvo/Grande
URAE 4 - NORTE,Parisi,08/15/23 13:55:59,2.892,15 - Turvo/Grande
